time,weather_code,temperature_2m_max,temperature_2m_min,sunrise,sunset,sunshine_duration,precipitation_hours
2023-01-26,3,-0.0,-1.1,2023-01-26T06:57,2023-01-26T15:40,0.00,0.0
2023-01-27,71,3.1,-2.8,2023-01-27T06:55,2023-01-27T15:42,0.00,3.0
2023-01-28,3,1.9,-2.8,2023-01-28T06:54,2023-01-28T15:43,6314.38,0.0
2023-01-29,71,2.5,-0.8,2023-01-29T06:52,2023-01-29T15:45,0.00,2.0
2023-01-30,71,4.8,1.4,2023-01-30T06:51,2023-01-30T15:47,7538.89,14.0
2023-01-31,55,5.5,1.7,2023-01-31T06:49,2023-01-31T15:49,0.00,10.0
2023-02-01,73,5.6,2.0,2023-02-01T06:48,2023-02-01T15:51,4769.19,9.0
2023-02-02,51,5.8,-1.7,2023-02-02T06:46,2023-02-02T15:53,21248.58,6.0
2023-02-03,73,8.1,1.2,2023-02-03T06:44,2023-02-03T15:55,10849.06,15.0
2023-02-04,51,3.7,-5.2,2023-02-04T06:43,2023-02-04T15:57,24018.45,1.0
2023-02-05,3,1.3,-5.7,2023-02-05T06:41,2023-02-05T15:59,14284.62,0.0
2023-02-06,71,0.8,-5.9,2023-02-06T06:39,2023-02-06T16:00,8531.44,5.0
2023-02-07,3,1.1,-7.7,2023-02-07T06:38,2023-02-07T16:02,28991.92,0.0
2023-02-08,1,1.5,-6.0,2023-02-08T06:36,2023-02-08T16:04,29637.65,0.0
2023-02-09,3,3.0,-4.8,2023-02-09T06:34,2023-02-09T16:06,28746.58,0.0
2023-02-10,3,6.0,-1.2,2023-02-10T06:32,2023-02-10T16:08,4068.16,0.0
2023-02-11,51,7.8,2.6,2023-02-11T06:30,2023-02-11T16:10,0.00,2.0
2023-02-12,3,8.0,5.7,2023-02-12T06:28,2023-02-12T16:12,0.00,0.0
2023-02-13,51,7.6,3.0,2023-02-13T06:26,2023-02-13T16:14,0.00,1.0
2023-02-14,3,7.0,-0.5,2023-02-14T06:24,2023-02-14T16:16,23181.92,0.0
2023-02-15,3,7.8,-2.3,2023-02-15T06:22,2023-02-15T16:17,30329.90,0.0
2023-02-16,51,10.2,-1.0,2023-02-16T06:20,2023-02-16T16:19,26503.13,2.0
2023-02-17,53,12.0,5.9,2023-02-17T06:18,2023-02-17T16:21,0.00,15.0
2023-02-18,63,10.0,4.8,2023-02-18T06:16,2023-02-18T16:23,238.53,10.0
2023-02-19,53,6.9,0.9,2023-02-19T06:14,2023-02-19T16:25,28240.37,7.0
2023-02-20,51,9.6,2.1,2023-02-20T06:12,2023-02-20T16:27,4110.60,8.0
2023-02-21,51,11.2,5.5,2023-02-21T06:10,2023-02-21T16:29,14848.24,7.0
2023-02-22,3,10.0,3.9,2023-02-22T06:08,2023-02-22T16:31,7721.67,0.0
2023-02-23,51,10.7,3.2,2023-02-23T06:06,2023-02-23T16:33,11358.63,5.0
2023-02-24,71,6.2,1.2,2023-02-24T06:04,2023-02-24T16:35,0.00,9.0
2023-02-25,73,2.9,-1.0,2023-02-25T06:01,2023-02-25T16:36,0.00,22.0
2023-02-26,73,3.0,-3.1,2023-02-26T05:59,2023-02-26T16:38,33842.20,1.0
2023-02-27,73,3.9,-4.0,2023-02-27T05:57,2023-02-27T16:40,24546.35,6.0
2023-02-28,3,4.8,-3.9,2023-02-28T05:55,2023-02-28T16:42,34352.47,0.0
2023-03-01,1,7.4,-5.8,2023-03-01T05:53,2023-03-01T16:44,33758.12,0.0
2023-03-02,3,5.4,-3.0,2023-03-02T05:51,2023-03-02T16:46,25932.53,0.0
2023-03-03,3,3.9,-3.1,2023-03-03T05:48,2023-03-03T16:47,9869.23,0.0
2023-03-04,51,6.1,-1.0,2023-03-04T05:46,2023-03-04T16:49,599.67,6.0
2023-03-05,71,4.0,-0.6,2023-03-05T05:44,2023-03-05T16:51,27352.92,5.0
2023-03-06,73,3.7,-2.4,2023-03-06T05:41,2023-03-06T16:53,15485.89,8.0
2023-03-07,73,4.8,-2.3,2023-03-07T05:39,2023-03-07T16:55,0.00,10.0
2023-03-08,71,3.6,-1.9,2023-03-08T05:37,2023-03-08T16:57,14855.16,9.0
2023-03-09,73,2.1,0.3,2023-03-09T05:34,2023-03-09T16:58,0.00,21.0
2023-03-10,63,9.8,0.5,2023-03-10T05:32,2023-03-10T17:00,11244.30,16.0
2023-03-11,75,3.4,-0.4,2023-03-11T05:30,2023-03-11T17:02,30578.24,12.0
2023-03-12,73,6.2,-2.2,2023-03-12T05:27,2023-03-12T17:04,19966.55,7.0
2023-03-13,55,15.4,6.1,2023-03-13T05:25,2023-03-13T17:06,15274.30,10.0
2023-03-14,71,13.7,1.8,2023-03-14T05:23,2023-03-14T17:07,32083.60,4.0
2023-03-15,51,6.5,-0.6,2023-03-15T05:20,2023-03-15T17:09,35373.19,5.0
2023-03-16,3,8.6,-2.1,2023-03-16T05:18,2023-03-16T17:11,38377.38,0.0
2023-03-17,3,13.1,3.0,2023-03-17T05:16,2023-03-17T17:13,26919.94,0.0
2023-03-18,51,17.3,5.4,2023-03-18T05:13,2023-03-18T17:14,38544.59,2.0
2023-03-19,61,15.4,5.0,2023-03-19T05:11,2023-03-19T17:16,28800.00,5.0
2023-03-20,53,11.8,6.3,2023-03-20T05:09,2023-03-20T17:18,11746.34,4.0
2023-03-21,55,11.1,6.4,2023-03-21T05:07,2023-03-21T17:20,0.00,4.0
2023-03-22,51,15.9,8.1,2023-03-22T05:04,2023-03-22T17:21,33605.48,3.0
2023-03-23,61,14.9,9.2,2023-03-23T05:02,2023-03-23T17:23,22485.41,9.0
2023-03-24,51,15.9,7.5,2023-03-24T04:59,2023-03-24T17:25,18046.10,8.0
2023-03-25,63,11.9,7.4,2023-03-25T04:57,2023-03-25T17:27,32217.06,11.0
2023-03-26,53,10.9,4.4,2023-03-26T04:55,2023-03-26T17:29,23062.14,10.0
2023-03-27,73,6.3,0.3,2023-03-27T04:52,2023-03-27T17:30,38024.44,11.0
2023-03-28,71,7.0,-0.7,2023-03-28T04:50,2023-03-28T17:32,41766.67,2.0
2023-03-29,3,10.6,0.8,2023-03-29T04:48,2023-03-29T17:34,27464.92,0.0
2023-03-30,63,16.8,7.2,2023-03-30T04:45,2023-03-30T17:36,25142.32,6.0
2023-03-31,63,13.3,7.3,2023-03-31T04:43,2023-03-31T17:37,17582.05,13.0
2023-04-01,53,9.3,2.3,2023-04-01T04:40,2023-04-01T17:39,0.00,23.0
2023-04-02,3,7.8,0.1,2023-04-02T04:38,2023-04-02T17:41,29110.69,0.0
2023-04-03,3,3.9,-1.3,2023-04-03T04:36,2023-04-03T17:43,14667.42,0.0
2023-04-04,3,5.8,-3.4,2023-04-04T04:33,2023-04-04T17:44,22327.72,0.0
2023-04-05,73,7.3,-2.6,2023-04-05T04:31,2023-04-05T17:46,39283.58,7.0
2023-04-06,2,9.8,-2.9,2023-04-06T04:29,2023-04-06T17:48,38054.78,0.0
2023-04-07,51,5.7,-1.0,2023-04-07T04:27,2023-04-07T17:50,0.00,11.0
2023-04-08,51,11.6,3.4,2023-04-08T04:24,2023-04-08T17:51,35123.09,2.0
2023-04-09,3,12.5,0.1,2023-04-09T04:22,2023-04-09T17:53,33774.71,0.0
2023-04-10,3,15.5,1.9,2023-04-10T04:20,2023-04-10T17:55,42310.06,0.0
2023-04-11,61,12.2,3.0,2023-04-11T04:18,2023-04-11T17:57,28273.96,11.0
2023-04-12,55,14.6,-0.1,2023-04-12T04:15,2023-04-12T17:58,28849.82,6.0
2023-04-13,3,12.8,5.6,2023-04-13T04:13,2023-04-13T18:00,27889.87,0.0
2023-04-14,53,8.8,6.1,2023-04-14T04:11,2023-04-14T18:02,0.00,20.0
2023-04-15,53,11.2,7.1,2023-04-15T04:08,2023-04-15T18:04,2416.66,14.0
2023-04-16,51,10.7,7.5,2023-04-16T04:06,2023-04-16T18:05,655.39,14.0
2023-04-17,55,11.2,4.5,2023-04-17T04:04,2023-04-17T18:07,22372.40,7.0
2023-04-18,51,13.6,3.4,2023-04-18T04:02,2023-04-18T18:09,22873.78,1.0
2023-04-19,61,11.5,3.4,2023-04-19T04:00,2023-04-19T18:11,29957.94,8.0
2023-04-20,53,14.9,4.1,2023-04-20T03:57,2023-04-20T18:12,35204.71,7.0
2023-04-21,1,18.8,8.0,2023-04-21T03:55,2023-04-21T18:14,47278.38,0.0
2023-04-22,2,20.7,7.1,2023-04-22T03:53,2023-04-22T18:16,47618.57,0.0
2023-04-23,55,16.4,10.0,2023-04-23T03:51,2023-04-23T18:18,24766.30,9.0
2023-04-24,51,16.0,7.5,2023-04-24T03:49,2023-04-24T18:19,45929.61,3.0
2023-04-25,3,10.5,4.4,2023-04-25T03:47,2023-04-25T18:21,20304.93,0.0
2023-04-26,51,9.8,2.5,2023-04-26T03:45,2023-04-26T18:23,34823.44,5.0
2023-04-27,51,10.2,2.0,2023-04-27T03:43,2023-04-27T18:24,37212.55,4.0
2023-04-28,3,15.5,1.8,2023-04-28T03:41,2023-04-28T18:26,30211.34,0.0
2023-04-29,51,14.6,6.9,2023-04-29T03:39,2023-04-29T18:28,16770.15,4.0
2023-04-30,0,13.2,3.6,2023-04-30T03:37,2023-04-30T18:30,49310.39,0.0
2023-05-01,3,17.4,2.9,2023-05-01T03:35,2023-05-01T18:31,47952.10,0.0
2023-05-02,51,12.8,7.4,2023-05-02T03:33,2023-05-02T18:33,23260.12,4.0
2023-05-03,3,14.9,4.2,2023-05-03T03:31,2023-05-03T18:35,49918.29,0.0
2023-05-04,3,17.2,3.4,2023-05-04T03:29,2023-05-04T18:36,46438.65,0.0
2023-05-05,53,18.6,8.6,2023-05-05T03:27,2023-05-05T18:38,41448.90,2.0
2023-05-06,63,11.0,8.3,2023-05-06T03:25,2023-05-06T18:40,0.00,13.0
2023-05-07,3,15.1,6.2,2023-05-07T03:23,2023-05-07T18:42,50347.67,0.0
2023-05-08,0,16.7,5.4,2023-05-08T03:22,2023-05-08T18:43,50403.97,0.0
2023-05-09,0,18.1,7.4,2023-05-09T03:20,2023-05-09T18:45,50400.00,0.0
2023-05-10,2,21.6,9.6,2023-05-10T03:18,2023-05-10T18:47,46378.17,0.0
2023-05-11,3,21.5,9.8,2023-05-11T03:16,2023-05-11T18:48,43200.00,0.0
2023-05-12,2,21.7,12.1,2023-05-12T03:15,2023-05-12T18:50,50400.00,0.0
2023-05-13,1,22.1,11.4,2023-05-13T03:13,2023-05-13T18:51,50446.00,0.0
2023-05-14,2,21.1,8.4,2023-05-14T03:11,2023-05-14T18:53,50041.25,0.0
2023-05-15,3,20.0,8.3,2023-05-15T03:10,2023-05-15T18:55,48396.33,0.0
2023-05-16,3,16.1,8.3,2023-05-16T03:08,2023-05-16T18:56,33940.23,0.0
2023-05-17,51,15.1,6.2,2023-05-17T03:07,2023-05-17T18:58,50891.15,1.0
2023-05-18,3,15.3,4.5,2023-05-18T03:05,2023-05-18T18:59,39716.82,0.0
2023-05-19,3,18.2,6.9,2023-05-19T03:04,2023-05-19T19:01,35018.75,0.0
2023-05-20,3,19.7,8.8,2023-05-20T03:03,2023-05-20T19:02,30078.70,0.0
2023-05-21,51,26.3,13.8,2023-05-21T03:01,2023-05-21T19:04,50660.05,1.0
2023-05-22,2,25.3,15.4,2023-05-22T03:00,2023-05-22T19:05,50201.13,0.0
2023-05-23,53,22.5,11.0,2023-05-23T02:59,2023-05-23T19:07,25246.30,6.0
2023-05-24,51,15.5,9.7,2023-05-24T02:57,2023-05-24T19:08,21087.58,7.0
2023-05-25,3,18.8,8.4,2023-05-25T02:56,2023-05-25T19:09,35608.72,0.0
2023-05-26,2,18.8,7.0,2023-05-26T02:55,2023-05-26T19:11,52028.75,0.0
2023-05-27,0,19.9,6.3,2023-05-27T02:54,2023-05-27T19:12,53375.28,0.0
2023-05-28,0,22.7,7.6,2023-05-28T02:53,2023-05-28T19:13,53403.22,0.0
2023-05-29,3,21.1,10.7,2023-05-29T02:52,2023-05-29T19:15,44875.26,0.0
2023-05-30,1,21.6,7.3,2023-05-30T02:51,2023-05-30T19:16,53772.75,0.0
2023-05-31,1,24.1,8.8,2023-05-31T02:50,2023-05-31T19:17,54127.63,0.0
2023-06-01,3,21.7,11.4,2023-06-01T02:49,2023-06-01T19:18,52379.27,0.0
2023-06-02,51,19.7,9.6,2023-06-02T02:48,2023-06-02T19:19,51686.47,2.0
2023-06-03,3,19.6,7.1,2023-06-03T02:48,2023-06-03T19:21,50219.75,0.0
2023-06-04,0,22.7,7.0,2023-06-04T02:47,2023-06-04T19:22,54726.21,0.0
2023-06-05,1,25.3,10.2,2023-06-05T02:46,2023-06-05T19:23,51272.01,0.0
2023-06-06,51,25.5,14.9,2023-06-06T02:45,2023-06-06T19:24,25200.00,2.0
2023-06-07,2,28.4,15.8,2023-06-07T02:45,2023-06-07T19:24,45874.89,0.0
2023-06-08,3,28.3,16.2,2023-06-08T02:44,2023-06-08T19:25,51919.63,0.0
2023-06-09,1,28.5,16.2,2023-06-09T02:44,2023-06-09T19:26,54730.39,0.0
2023-06-10,51,28.9,15.4,2023-06-10T02:44,2023-06-10T19:27,54160.49,1.0
2023-06-11,2,26.4,14.3,2023-06-11T02:43,2023-06-11T19:28,53209.20,0.0
2023-06-12,2,25.5,14.5,2023-06-12T02:43,2023-06-12T19:28,55372.05,0.0
2023-06-13,2,23.7,12.4,2023-06-13T02:43,2023-06-13T19:29,50358.43,0.0
2023-06-14,3,23.7,11.4,2023-06-14T02:42,2023-06-14T19:30,48067.86,0.0
2023-06-15,51,22.9,14.5,2023-06-15T02:42,2023-06-15T19:30,45870.85,2.0
2023-06-16,65,19.9,12.5,2023-06-16T02:42,2023-06-16T19:31,25361.55,16.0
2023-06-17,51,20.9,11.8,2023-06-17T02:42,2023-06-17T19:31,44700.33,8.0
2023-06-18,51,24.7,11.8,2023-06-18T02:42,2023-06-18T19:32,52632.95,1.0
2023-06-19,51,27.1,14.8,2023-06-19T02:42,2023-06-19T19:32,34048.31,2.0
2023-06-20,53,25.5,16.2,2023-06-20T02:43,2023-06-20T19:32,31917.74,5.0
2023-06-21,63,27.8,19.1,2023-06-21T02:43,2023-06-21T19:33,47025.07,5.0
2023-06-22,61,27.3,17.7,2023-06-22T02:43,2023-06-22T19:33,51449.06,3.0
2023-06-23,63,18.8,16.0,2023-06-23T02:43,2023-06-23T19:33,0.00,19.0
2023-06-24,3,24.6,14.9,2023-06-24T02:44,2023-06-24T19:33,54188.07,0.0
2023-06-25,51,26.4,14.9,2023-06-25T02:44,2023-06-25T19:33,53279.85,4.0
2023-06-26,61,29.3,17.8,2023-06-26T02:44,2023-06-26T19:33,53722.32,3.0
2023-06-27,51,20.5,14.5,2023-06-27T02:45,2023-06-27T19:33,51566.36,7.0
2023-06-28,3,22.1,13.0,2023-06-28T02:45,2023-06-28T19:33,39965.46,0.0
2023-06-29,3,24.9,11.9,2023-06-29T02:46,2023-06-29T19:33,47822.24,0.0
2023-06-30,63,21.6,16.1,2023-06-30T02:46,2023-06-30T19:32,29090.32,11.0
2023-07-01,55,23.8,15.2,2023-07-01T02:47,2023-07-01T19:32,28169.16,4.0
2023-07-02,61,21.8,14.9,2023-07-02T02:48,2023-07-02T19:32,52852.88,3.0
2023-07-03,3,21.5,14.4,2023-07-03T02:49,2023-07-03T19:31,45278.16,0.0
2023-07-04,51,22.3,13.8,2023-07-04T02:50,2023-07-04T19:31,54468.57,4.0
2023-07-05,61,24.8,13.0,2023-07-05T02:50,2023-07-05T19:30,39413.51,4.0
2023-07-06,51,22.3,13.7,2023-07-06T02:51,2023-07-06T19:30,54386.21,4.0
2023-07-07,2,27.5,11.1,2023-07-07T02:52,2023-07-07T19:29,54339.03,0.0
2023-07-08,0,30.1,14.8,2023-07-08T02:53,2023-07-08T19:29,54414.29,0.0
2023-07-09,1,31.6,16.6,2023-07-09T02:54,2023-07-09T19:28,54232.49,0.0
2023-07-10,53,30.9,17.6,2023-07-10T02:55,2023-07-10T19:27,50045.61,3.0
2023-07-11,1,29.7,16.3,2023-07-11T02:56,2023-07-11T19:26,51361.16,0.0
2023-07-12,51,27.7,18.7,2023-07-12T02:58,2023-07-12T19:25,46014.33,1.0
2023-07-13,51,25.6,15.7,2023-07-13T02:59,2023-07-13T19:25,51308.86,1.0
2023-07-14,2,25.9,13.9,2023-07-14T03:00,2023-07-14T19:24,47089.47,0.0
2023-07-15,3,34.6,18.0,2023-07-15T03:01,2023-07-15T19:23,51894.89,0.0
2023-07-16,53,28.7,17.9,2023-07-16T03:02,2023-07-16T19:22,49322.98,3.0
2023-07-17,51,26.4,15.5,2023-07-17T03:04,2023-07-17T19:20,52193.91,1.0
2023-07-18,2,24.4,13.6,2023-07-18T03:05,2023-07-18T19:19,52679.83,0.0
2023-07-19,51,25.3,13.4,2023-07-19T03:06,2023-07-19T19:18,51829.73,1.0
2023-07-20,53,22.2,13.9,2023-07-20T03:08,2023-07-20T19:17,52016.92,5.0
2023-07-21,53,21.1,11.6,2023-07-21T03:09,2023-07-21T19:16,17704.08,3.0
2023-07-22,51,21.7,13.0,2023-07-22T03:10,2023-07-22T19:14,51036.89,2.0
2023-07-23,51,27.8,15.8,2023-07-23T03:12,2023-07-23T19:13,26675.74,4.0
2023-07-24,63,27.6,16.7,2023-07-24T03:13,2023-07-24T19:11,41619.97,9.0
2023-07-25,3,21.9,14.8,2023-07-25T03:15,2023-07-25T19:10,36734.76,0.0
2023-07-26,51,19.9,12.1,2023-07-26T03:16,2023-07-26T19:09,46691.62,1.0
2023-07-27,53,20.0,12.0,2023-07-27T03:18,2023-07-27T19:07,21463.58,12.0
2023-07-28,65,22.5,16.4,2023-07-28T03:19,2023-07-28T19:05,27512.73,16.0
2023-07-29,63,23.8,15.5,2023-07-29T03:21,2023-07-29T19:04,26143.04,13.0
2023-07-30,63,23.8,15.1,2023-07-30T03:22,2023-07-30T19:02,40302.78,5.0
2023-07-31,61,20.2,15.1,2023-07-31T03:24,2023-07-31T19:01,12706.90,16.0
2023-08-01,63,21.2,16.0,2023-08-01T03:26,2023-08-01T18:59,22044.05,14.0
2023-08-02,63,22.5,14.6,2023-08-02T03:27,2023-08-02T18:57,33944.45,9.0
2023-08-03,53,23.3,16.8,2023-08-03T03:29,2023-08-03T18:55,50084.38,4.0
2023-08-04,51,21.6,14.4,2023-08-04T03:30,2023-08-04T18:54,48545.23,7.0
2023-08-05,51,21.1,14.0,2023-08-05T03:32,2023-08-05T18:52,28349.65,2.0
2023-08-06,55,17.7,14.0,2023-08-06T03:33,2023-08-06T18:50,0.00,23.0
2023-08-07,51,19.2,13.5,2023-08-07T03:35,2023-08-07T18:48,32468.00,10.0
2023-08-08,63,19.8,12.4,2023-08-08T03:37,2023-08-08T18:46,43754.88,8.0
2023-08-09,51,20.0,12.3,2023-08-09T03:38,2023-08-09T18:45,45311.49,2.0
2023-08-10,51,20.3,11.7,2023-08-10T03:40,2023-08-10T18:43,43127.28,2.0
2023-08-11,3,24.8,10.6,2023-08-11T03:42,2023-08-11T18:41,40534.76,0.0
2023-08-12,63,27.0,16.8,2023-08-12T03:43,2023-08-12T18:39,25276.66,2.0
2023-08-13,3,25.8,16.8,2023-08-13T03:45,2023-08-13T18:37,43668.12,0.0
2023-08-14,51,29.3,16.4,2023-08-14T03:47,2023-08-14T18:35,45436.31,1.0
2023-08-15,65,29.7,19.2,2023-08-15T03:48,2023-08-15T18:33,38358.07,8.0
2023-08-16,61,26.9,18.8,2023-08-16T03:50,2023-08-16T18:31,48455.31,6.0
2023-08-17,53,25.5,17.7,2023-08-17T03:52,2023-08-17T18:28,46876.11,4.0
2023-08-18,51,29.4,18.4,2023-08-18T03:53,2023-08-18T18:26,47713.62,6.0
2023-08-19,2,31.0,18.8,2023-08-19T03:55,2023-08-19T18:24,45109.68,0.0
2023-08-20,51,28.9,19.4,2023-08-20T03:57,2023-08-20T18:22,46648.92,2.0
2023-08-21,3,26.9,18.3,2023-08-21T03:58,2023-08-21T18:20,46363.33,0.0
2023-08-22,3,25.7,17.6,2023-08-22T04:00,2023-08-22T18:18,12203.91,0.0
2023-08-23,3,26.6,15.8,2023-08-23T04:02,2023-08-23T18:16,44676.68,0.0
2023-08-24,3,28.1,15.5,2023-08-24T04:03,2023-08-24T18:13,40030.12,0.0
2023-08-25,63,29.5,20.0,2023-08-25T04:05,2023-08-25T18:11,32338.42,7.0
2023-08-26,51,25.2,15.1,2023-08-26T04:07,2023-08-26T18:09,32400.00,6.0
2023-08-27,51,21.5,12.8,2023-08-27T04:08,2023-08-27T18:07,7404.32,3.0
2023-08-28,3,19.3,12.8,2023-08-28T04:10,2023-08-28T18:05,17856.57,0.0
2023-08-29,53,16.6,14.4,2023-08-29T04:12,2023-08-29T18:02,0.00,20.0
2023-08-30,3,19.8,13.3,2023-08-30T04:13,2023-08-30T18:00,32838.96,0.0
2023-08-31,53,18.3,12.2,2023-08-31T04:15,2023-08-31T17:58,42805.30,10.0
2023-09-01,3,20.5,11.2,2023-09-01T04:17,2023-09-01T17:55,27299.70,0.0
2023-09-02,51,21.9,10.2,2023-09-02T04:18,2023-09-02T17:53,40867.73,3.0
2023-09-03,3,20.6,13.6,2023-09-03T04:20,2023-09-03T17:51,24605.93,0.0
2023-09-04,1,24.3,11.6,2023-09-04T04:22,2023-09-04T17:48,43480.11,0.0
2023-09-05,1,26.9,14.8,2023-09-05T04:23,2023-09-05T17:46,43316.18,0.0
2023-09-06,0,28.4,13.1,2023-09-06T04:25,2023-09-06T17:44,43309.20,0.0
2023-09-07,1,28.5,15.5,2023-09-07T04:27,2023-09-07T17:41,43248.45,0.0
2023-09-08,0,28.9,15.8,2023-09-08T04:28,2023-09-08T17:39,43117.11,0.0
2023-09-09,1,30.2,15.3,2023-09-09T04:30,2023-09-09T17:37,43012.94,0.0
2023-09-10,0,30.2,13.5,2023-09-10T04:32,2023-09-10T17:34,42915.34,0.0
2023-09-11,1,30.1,14.2,2023-09-11T04:33,2023-09-11T17:32,42746.71,0.0
2023-09-12,2,29.7,14.5,2023-09-12T04:35,2023-09-12T17:30,38659.73,0.0
2023-09-13,63,23.8,15.7,2023-09-13T04:37,2023-09-13T17:27,42272.17,8.0
2023-09-14,3,20.8,11.6,2023-09-14T04:38,2023-09-14T17:25,42035.25,0.0
2023-09-15,3,23.0,10.6,2023-09-15T04:40,2023-09-15T17:23,41798.25,0.0
2023-09-16,1,25.3,13.1,2023-09-16T04:41,2023-09-16T17:20,41559.66,0.0
2023-09-17,3,27.2,13.3,2023-09-17T04:43,2023-09-17T17:18,39733.03,0.0
2023-09-18,51,27.8,17.2,2023-09-18T04:45,2023-09-18T17:15,27786.25,2.0
2023-09-19,51,20.7,16.4,2023-09-19T04:46,2023-09-19T17:13,31983.08,1.0
2023-09-20,2,24.7,15.6,2023-09-20T04:48,2023-09-20T17:11,38884.89,0.0
2023-09-21,1,27.9,14.3,2023-09-21T04:50,2023-09-21T17:08,40344.84,0.0
2023-09-22,55,19.7,14.6,2023-09-22T04:52,2023-09-22T17:06,10765.08,11.0
2023-09-23,3,18.3,12.4,2023-09-23T04:53,2023-09-23T17:03,34798.07,0.0
2023-09-24,2,19.4,10.0,2023-09-24T04:55,2023-09-24T17:01,38748.03,0.0
2023-09-25,3,21.5,9.2,2023-09-25T04:57,2023-09-25T16:59,39102.50,0.0
2023-09-26,3,24.1,11.8,2023-09-26T04:58,2023-09-26T16:56,37282.07,0.0
2023-09-27,3,26.0,12.4,2023-09-27T05:00,2023-09-27T16:54,37547.50,0.0
2023-09-28,1,25.8,14.6,2023-09-28T05:02,2023-09-28T16:51,37864.68,0.0
2023-09-29,53,23.4,14.0,2023-09-29T05:03,2023-09-29T16:49,17846.84,3.0
2023-09-30,3,19.3,12.3,2023-09-30T05:05,2023-09-30T16:47,35996.46,0.0
2023-10-01,51,20.0,13.0,2023-10-01T05:07,2023-10-01T16:44,19953.03,2.0
2023-10-02,3,24.7,13.2,2023-10-02T05:08,2023-10-02T16:42,36305.70,0.0
2023-10-03,63,24.4,12.3,2023-10-03T05:10,2023-10-03T16:40,17207.35,7.0
2023-10-04,51,17.4,12.2,2023-10-04T05:12,2023-10-04T16:37,33635.26,3.0
2023-10-05,51,16.3,11.9,2023-10-05T05:14,2023-10-05T16:35,12491.65,6.0
2023-10-06,55,17.9,10.9,2023-10-06T05:15,2023-10-06T16:33,8805.51,2.0
2023-10-07,61,17.5,12.4,2023-10-07T05:17,2023-10-07T16:31,0.00,15.0
2023-10-08,53,14.3,9.7,2023-10-08T05:19,2023-10-08T16:28,32403.18,3.0
2023-10-09,61,12.2,9.3,2023-10-09T05:20,2023-10-09T16:26,5045.48,5.0
2023-10-10,53,16.9,10.5,2023-10-10T05:22,2023-10-10T16:24,12868.48,9.0
2023-10-11,3,22.6,14.1,2023-10-11T05:24,2023-10-11T16:21,33690.07,0.0
2023-10-12,61,17.8,12.1,2023-10-12T05:26,2023-10-12T16:19,10019.85,8.0
2023-10-13,51,21.0,11.6,2023-10-13T05:28,2023-10-13T16:17,12382.60,3.0
2023-10-14,61,19.0,9.0,2023-10-14T05:29,2023-10-14T16:15,31222.19,7.0
2023-10-15,51,10.7,6.4,2023-10-15T05:31,2023-10-15T16:12,34342.96,4.0
2023-10-16,51,10.5,3.6,2023-10-16T05:33,2023-10-16T16:10,33954.26,4.0
